timestamp,P2
2018-06-01 03:50:36.047441,2.8
2018-06-01 03:52:14.866070,4.0
2018-06-01 03:53:05.889424,2.87
2018-06-01 03:53:06.777551,4.93
2018-06-01 03:55:06.496011,4.27
2018-06-01 03:55:35.918374,2.9
2018-06-01 03:55:37.613285,5.25
2018-06-01 03:57:58.447877,4.4
2018-06-01 03:58:05.612695,2.5
2018-06-01 03:58:08.759377,4.72
2018-06-01 04:00:35.638146,2.57
2018-06-01 04:00:39.595168,5.15
2018-06-01 04:00:50.064196,4.3
2018-06-01 04:03:05.452621,2.77
2018-06-01 04:03:10.664516,5.05
2018-06-01 04:03:41.972725,4.1
2018-06-01 04:05:35.274620,2.8
2018-06-01 04:05:41.692682,4.95
2018-06-01 04:06:34.104838,4.67
2018-06-01 04:08:05.068448,3.0
2018-06-01 04:08:12.343977,4.9
2018-06-01 04:09:25.529812,3.9
2018-06-01 04:10:34.881539,2.8
2018-06-01 04:10:43.465998,4.75
2018-06-01 04:12:17.375714,4.2
2018-06-01 04:13:04.494246,3.0
2018-06-01 04:13:14.590165,4.8
2018-06-01 04:15:09.201069,4.47
2018-06-01 04:15:34.297628,3.33
2018-06-01 04:15:45.270184,5.15
2018-06-01 04:18:00.836343,3.8
2018-06-01 04:18:04.183381,2.97
2018-06-01 04:18:16.099541,5.6
2018-06-01 04:20:33.941960,2.8
2018-06-01 04:20:47.227553,5.35
2018-06-01 04:20:52.648105,4.07
2018-06-01 04:23:03.835666,3.5
2018-06-01 04:23:18.179038,5.25
2018-06-01 04:23:44.374926,4.37
2018-06-01 04:25:33.557732,2.87
2018-06-01 04:25:48.980712,5.3
2018-06-01 04:26:37.234058,3.7
2018-06-01 04:28:03.456323,3.17
2018-06-01 04:28:19.958099,5.47
2018-06-01 04:29:27.725073,4.1
2018-06-01 04:30:33.283021,2.63
2018-06-01 04:30:50.586076,5.55
2018-06-01 04:32:19.465428,3.93
2018-06-01 04:33:02.981944,3.07
2018-06-01 04:33:21.824555,5.32
2018-06-01 04:35:11.394665,3.5
2018-06-01 04:35:32.915283,2.97
2018-06-01 04:35:52.848994,5.53
2018-06-01 04:38:02.810158,2.8
2018-06-01 04:38:03.276974,3.87
2018-06-01 04:38:23.704524,5.05
2018-06-01 04:40:32.520723,3.13
2018-06-01 04:40:54.765478,4.87
2018-06-01 04:40:55.211708,3.37
2018-06-01 04:43:02.656734,3.17
2018-06-01 04:43:26.597182,5.2
2018-06-01 04:43:46.959528,3.13
2018-06-01 04:45:32.456825,3.43
2018-06-01 04:45:57.742152,5.57
2018-06-01 04:46:38.804782,3.53
2018-06-01 04:48:02.377521,3.8
2018-06-01 04:48:28.783184,5.7
2018-06-01 04:49:30.538570,3.5
2018-06-01 04:50:32.497551,3.2
2018-06-01 04:50:59.627035,6.25
2018-06-01 04:52:22.452586,4.53
2018-06-01 04:53:02.613786,3.33
2018-06-01 04:53:30.469216,6.07
2018-06-01 04:55:14.373122,4.6
2018-06-01 04:55:32.417893,3.83
2018-06-01 04:56:01.402068,5.85
2018-06-01 04:58:02.134978,4.07
2018-06-01 04:58:06.387287,6.57
2018-06-01 04:58:32.436981,6.2
2018-06-01 05:00:31.949802,3.3
2018-06-01 05:00:58.359119,6.5
2018-06-01 05:01:03.379272,7.1
2018-06-01 05:03:01.858954,3.6
2018-06-01 05:03:34.107441,7.43
2018-06-01 05:03:50.073546,5.3
2018-06-01 05:05:31.675504,3.8
2018-06-01 05:06:05.062318,5.97
2018-06-01 05:06:42.825287,5.3
2018-06-01 05:08:01.387860,3.67
2018-06-01 05:08:35.996028,7.95
2018-06-01 05:09:34.652416,4.73
2018-06-01 05:10:30.924332,4.23
2018-06-01 05:11:06.942692,6.85
2018-06-01 05:12:26.264583,4.6
2018-06-01 05:13:00.582251,3.7
2018-06-01 05:13:38.083682,6.03
2018-06-01 05:15:18.195248,4.67
2018-06-01 05:15:30.391877,3.77
2018-06-01 05:16:09.325889,6.3
2018-06-01 05:18:00.418155,4.67
2018-06-01 05:18:10.342584,4.53
2018-06-01 05:18:40.159503,7.43
2018-06-01 05:20:30.108829,5.03
2018-06-01 05:21:01.993670,4.8
2018-06-01 05:21:11.798512,7.07
2018-06-01 05:23:00.149028,3.8
2018-06-01 05:23:42.725521,6.1
2018-06-01 05:23:53.580580,5.53
2018-06-01 05:25:29.960673,3.63
2018-06-01 05:26:13.779913,6.4
2018-06-01 05:26:45.527024,4.9
2018-06-01 05:27:59.974225,4.17
2018-06-01 05:28:44.688876,6.2
2018-06-01 05:29:37.547812,5.43
2018-06-01 05:30:29.766730,4.1
2018-06-01 05:31:15.697505,6.65
2018-06-01 05:32:29.394894,6.27
2018-06-01 05:32:59.692746,4.43
2018-06-01 05:33:46.499017,6.65
2018-06-01 05:35:21.114259,7.23
2018-06-01 05:35:29.598703,4.0
2018-06-01 05:36:17.330472,7.0
2018-06-01 05:37:59.944401,4.0
2018-06-01 05:38:12.839641,9.27
2018-06-01 05:38:48.275446,6.22
2018-06-01 05:40:29.632160,3.9
2018-06-01 05:41:04.672201,12.2
2018-06-01 05:41:19.108396,6.7
2018-06-01 05:41:27.983920,2.5
2018-06-01 05:42:59.550970,3.3
2018-06-01 05:43:50.064080,5.7
2018-06-01 05:43:57.049279,3.5
2018-06-01 05:43:57.079416,13.9
2018-06-01 05:45:29.261445,3.8
2018-06-01 05:46:20.979406,6.25
2018-06-01 05:46:36.942837,3.03
2018-06-01 05:46:50.853085,12.8
2018-06-01 05:47:59.320990,3.4
2018-06-01 05:48:52.030053,6.8
2018-06-01 05:49:06.159183,3.5
2018-06-01 05:49:42.623622,11.27
2018-06-01 05:50:29.189399,4.0
2018-06-01 05:51:22.862653,7.3
2018-06-01 05:51:35.324581,3.07
2018-06-01 05:52:37.413529,10.33
2018-06-01 05:52:59.115220,3.9
2018-06-01 05:53:53.495557,7.47
2018-06-01 05:54:04.339567,2.9
2018-06-01 05:55:28.907171,4.4
2018-06-01 05:55:29.410024,11.07
2018-06-01 05:56:24.736894,7.45
2018-06-01 05:56:38.269609,2.7
2018-06-01 05:57:58.980776,4.37
2018-06-01 05:58:21.467380,14.23
2018-06-01 05:58:55.774908,7.9
2018-06-01 05:59:08.008267,2.93
2018-06-01 06:00:28.976381,4.37
2018-06-01 06:01:14.232424,14.43
2018-06-01 06:01:26.833224,6.72
2018-06-01 06:01:44.851252,3.23
2018-06-01 06:02:59.486233,4.13
2018-06-01 06:03:57.753506,6.8
2018-06-01 06:04:06.067195,14.13
2018-06-01 06:04:21.689957,2.77
2018-06-01 06:05:29.311481,4.1
2018-06-01 06:06:28.887835,6.82
2018-06-01 06:06:58.888470,12.37
2018-06-01 06:07:12.230341,2.77
2018-06-01 06:07:59.352389,4.9
2018-06-01 06:08:59.926486,6.8
2018-06-01 06:09:51.764380,10.73
2018-06-01 06:09:56.571598,2.33
2018-06-01 06:10:29.226158,3.4
2018-06-01 06:11:31.082057,6.93
2018-06-01 06:12:20.237962,2.97
2018-06-01 06:12:45.860998,9.33
2018-06-01 06:12:59.247257,3.9
2018-06-01 06:14:02.227907,6.6
2018-06-01 06:15:29.063182,3.67
2018-06-01 06:15:40.970773,8.77
2018-06-01 06:16:33.261110,5.8
2018-06-01 06:17:30.111148,2.87
2018-06-01 06:17:59.083981,3.7
2018-06-01 06:18:34.022703,8.5
2018-06-01 06:19:04.347098,6.57
2018-06-01 06:19:59.121400,2.8
2018-06-01 06:20:29.102729,4.2
2018-06-01 06:21:25.844494,7.4
2018-06-01 06:21:35.350903,6.28
2018-06-01 06:22:28.190025,2.5
2018-06-01 06:22:59.209302,4.53
2018-06-01 06:24:06.494210,6.28
2018-06-01 06:24:17.784868,7.5
2018-06-01 06:24:58.877379,2.2
2018-06-01 06:25:29.030773,3.7
2018-06-01 06:26:37.643845,5.7
2018-06-01 06:27:10.621739,6.87
2018-06-01 06:27:30.113805,2.5
2018-06-01 06:27:59.101836,3.67
2018-06-01 06:29:08.575712,5.6
2018-06-01 06:30:03.382549,7.13
2018-06-01 06:30:04.669176,2.13
2018-06-01 06:30:28.954366,4.0
2018-06-01 06:31:39.502734,6.53
2018-06-01 06:32:37.585773,2.33
2018-06-01 06:32:56.943722,8.93
2018-06-01 06:32:59.153557,3.97
2018-06-01 06:34:10.345266,7.7
2018-06-01 06:35:17.013837,2.27
2018-06-01 06:35:29.093087,4.5
2018-06-01 06:35:53.689044,9.47
2018-06-01 06:36:41.397590,6.57
2018-06-01 06:37:49.495715,2.1
2018-06-01 06:37:59.762793,3.67
2018-06-01 06:38:46.539141,11.63
2018-06-01 06:39:12.335567,6.93
2018-06-01 06:40:18.628012,2.2
2018-06-01 06:40:29.626600,3.7
2018-06-01 06:41:38.571200,9.9
2018-06-01 06:41:43.060927,6.45
2018-06-01 06:42:47.888650,2.1
2018-06-01 06:42:59.318203,3.8
2018-06-01 06:44:14.210467,7.5
2018-06-01 06:44:30.886612,9.1
2018-06-01 06:45:16.940498,1.8
2018-06-01 06:45:29.357231,3.43
2018-06-01 06:46:45.176331,7.1
2018-06-01 06:47:24.895110,8.23
2018-06-01 06:47:46.061483,1.77
2018-06-01 06:47:59.169033,3.2
2018-06-01 06:49:15.965894,6.18
2018-06-01 06:50:15.081962,2.0
2018-06-01 06:50:16.801479,11.07
2018-06-01 06:50:29.092219,3.33
2018-06-01 06:51:46.943832,6.5
2018-06-01 06:52:44.082363,1.7
